epoch	Train Loss	Train acc.	Test Loss	Test acc.	time	
 1.0000e+00	 3.0511e-01	 9.1252e-01	 3.1041e-01	 9.1030e-01	 1.7755e+01	
 2.0000e+00	 2.6412e-01	 9.2372e-01	 2.7363e-01	 9.2030e-01	 1.0382e+01	
 3.0000e+00	 2.3571e-01	 9.3184e-01	 2.4830e-01	 9.2930e-01	 1.0372e+01	
 4.0000e+00	 2.1036e-01	 9.3960e-01	 2.2549e-01	 9.3660e-01	 1.0378e+01	
 5.0000e+00	 1.8755e-01	 9.4584e-01	 2.0485e-01	 9.4310e-01	 1.0374e+01	
 6.0000e+00	 1.6774e-01	 9.5178e-01	 1.8738e-01	 9.4730e-01	 1.0364e+01	
 7.0000e+00	 1.5093e-01	 9.5612e-01	 1.7285e-01	 9.5090e-01	 1.0365e+01	
 8.0000e+00	 1.3661e-01	 9.6020e-01	 1.6063e-01	 9.5370e-01	 1.0438e+01	
 9.0000e+00	 1.2434e-01	 9.6382e-01	 1.5033e-01	 9.5600e-01	 1.0380e+01	
 1.0000e+01	 1.1385e-01	 9.6662e-01	 1.4174e-01	 9.5940e-01	 1.0374e+01	
 1.1000e+01	 1.0471e-01	 9.6952e-01	 1.3438e-01	 9.6150e-01	 1.0376e+01	
 1.2000e+01	 9.6781e-02	 9.7234e-01	 1.2814e-01	 9.6260e-01	 1.0391e+01	
 1.3000e+01	 8.9844e-02	 9.7466e-01	 1.2283e-01	 9.6470e-01	 1.0388e+01	
 1.4000e+01	 8.3704e-02	 9.7638e-01	 1.1814e-01	 9.6560e-01	 1.0384e+01	
 1.5000e+01	 7.8204e-02	 9.7796e-01	 1.1416e-01	 9.6750e-01	 1.0368e+01	
 1.6000e+01	 7.3221e-02	 9.7956e-01	 1.1058e-01	 9.6860e-01	 1.0388e+01	
 1.7000e+01	 6.8789e-02	 9.8100e-01	 1.0762e-01	 9.6940e-01	 1.0377e+01	
 1.8000e+01	 6.4695e-02	 9.8224e-01	 1.0489e-01	 9.7040e-01	 1.0419e+01	
 1.9000e+01	 6.0985e-02	 9.8334e-01	 1.0256e-01	 9.7070e-01	 1.0361e+01	
 2.0000e+01	 5.7580e-02	 9.8434e-01	 1.0047e-01	 9.7130e-01	 1.0368e+01	
 2.1000e+01	 5.4445e-02	 9.8542e-01	 9.8680e-02	 9.7190e-01	 1.0369e+01	
 2.2000e+01	 5.1527e-02	 9.8628e-01	 9.6995e-02	 9.7250e-01	 1.0382e+01	
 2.3000e+01	 4.8868e-02	 9.8700e-01	 9.5550e-02	 9.7230e-01	 1.0374e+01	
 2.4000e+01	 4.6409e-02	 9.8772e-01	 9.4321e-02	 9.7240e-01	 1.0389e+01	
 2.5000e+01	 4.4125e-02	 9.8846e-01	 9.3302e-02	 9.7260e-01	 1.0384e+01	
 2.6000e+01	 4.1892e-02	 9.8936e-01	 9.2181e-02	 9.7300e-01	 1.0369e+01	
 2.7000e+01	 3.9898e-02	 9.8994e-01	 9.1408e-02	 9.7340e-01	 1.0376e+01	
 2.8000e+01	 3.8008e-02	 9.9040e-01	 9.0619e-02	 9.7400e-01	 1.0370e+01	
 2.9000e+01	 3.6139e-02	 9.9098e-01	 8.9834e-02	 9.7430e-01	 1.0375e+01	
 3.0000e+01	 3.4397e-02	 9.9164e-01	 8.9152e-02	 9.7450e-01	 1.0372e+01	
 3.1000e+01	 3.2798e-02	 9.9214e-01	 8.8610e-02	 9.7450e-01	 1.0368e+01	
 3.2000e+01	 3.1264e-02	 9.9258e-01	 8.8047e-02	 9.7450e-01	 1.0399e+01	
 3.3000e+01	 2.9816e-02	 9.9304e-01	 8.7614e-02	 9.7470e-01	 1.0375e+01	
 3.4000e+01	 2.8399e-02	 9.9346e-01	 8.7167e-02	 9.7500e-01	 1.0372e+01	
 3.5000e+01	 2.7148e-02	 9.9374e-01	 8.6871e-02	 9.7500e-01	 1.0382e+01	
 3.6000e+01	 2.5854e-02	 9.9412e-01	 8.6488e-02	 9.7510e-01	 1.0368e+01	
 3.7000e+01	 2.4705e-02	 9.9430e-01	 8.6256e-02	 9.7540e-01	 1.0381e+01	
 3.8000e+01	 2.3543e-02	 9.9470e-01	 8.6045e-02	 9.7540e-01	 1.0380e+01	
 3.9000e+01	 2.2527e-02	 9.9484e-01	 8.5997e-02	 9.7570e-01	 1.0383e+01	
 4.0000e+01	 2.1497e-02	 9.9516e-01	 8.5818e-02	 9.7580e-01	 1.0376e+01	
 4.1000e+01	 2.0509e-02	 9.9550e-01	 8.5756e-02	 9.7610e-01	 1.0387e+01	
 4.2000e+01	 1.9597e-02	 9.9576e-01	 8.5685e-02	 9.7570e-01	 1.0425e+01	
 4.3000e+01	 1.8739e-02	 9.9610e-01	 8.5731e-02	 9.7570e-01	 1.0393e+01	
 4.4000e+01	 1.7899e-02	 9.9642e-01	 8.5664e-02	 9.7570e-01	 1.0389e+01	
 4.5000e+01	 1.7104e-02	 9.9664e-01	 8.5753e-02	 9.7570e-01	 1.0459e+01	
 4.6000e+01	 1.6354e-02	 9.9686e-01	 8.5770e-02	 9.7570e-01	 1.0371e+01	
 4.7000e+01	 1.5635e-02	 9.9720e-01	 8.5831e-02	 9.7560e-01	 1.0375e+01	
 4.8000e+01	 1.4954e-02	 9.9738e-01	 8.5940e-02	 9.7570e-01	 1.0382e+01	
 4.9000e+01	 1.4311e-02	 9.9760e-01	 8.6066e-02	 9.7550e-01	 1.0370e+01	
 5.0000e+01	 1.3735e-02	 9.9778e-01	 8.6202e-02	 9.7540e-01	 1.0379e+01	
 5.1000e+01	 1.3124e-02	 9.9792e-01	 8.6330e-02	 9.7540e-01	 1.0376e+01	
 5.2000e+01	 1.2585e-02	 9.9814e-01	 8.6464e-02	 9.7530e-01	 1.0801e+01	
 5.3000e+01	 1.2018e-02	 9.9826e-01	 8.6635e-02	 9.7530e-01	 1.0622e+01	
 5.4000e+01	 1.1538e-02	 9.9834e-01	 8.6833e-02	 9.7540e-01	 1.0649e+01	
 5.5000e+01	 1.1064e-02	 9.9850e-01	 8.6984e-02	 9.7530e-01	 1.0683e+01	
 5.6000e+01	 1.0621e-02	 9.9866e-01	 8.7145e-02	 9.7540e-01	 1.0693e+01	
 5.7000e+01	 1.0211e-02	 9.9880e-01	 8.7327e-02	 9.7560e-01	 1.0660e+01	
 5.8000e+01	 9.7726e-03	 9.9890e-01	 8.7446e-02	 9.7580e-01	 1.0654e+01	
 5.9000e+01	 9.3975e-03	 9.9904e-01	 8.7701e-02	 9.7570e-01	 1.0721e+01	
 6.0000e+01	 9.0266e-03	 9.9910e-01	 8.7948e-02	 9.7570e-01	 1.0659e+01	
 6.1000e+01	 8.6864e-03	 9.9920e-01	 8.8145e-02	 9.7590e-01	 1.0665e+01	
 6.2000e+01	 8.3459e-03	 9.9926e-01	 8.8317e-02	 9.7590e-01	 1.0695e+01	
 6.3000e+01	 8.0201e-03	 9.9930e-01	 8.8542e-02	 9.7590e-01	 1.0680e+01	
 6.4000e+01	 7.7197e-03	 9.9938e-01	 8.8759e-02	 9.7590e-01	 1.0607e+01	
 6.5000e+01	 7.4228e-03	 9.9940e-01	 8.9010e-02	 9.7610e-01	 1.0614e+01	
 6.6000e+01	 7.1494e-03	 9.9946e-01	 8.9217e-02	 9.7610e-01	 1.0749e+01	
 6.7000e+01	 6.9154e-03	 9.9956e-01	 8.9503e-02	 9.7610e-01	 1.0585e+01	
 6.8000e+01	 6.6621e-03	 9.9958e-01	 8.9786e-02	 9.7620e-01	 1.0619e+01	
 6.9000e+01	 6.4024e-03	 9.9962e-01	 8.9995e-02	 9.7630e-01	 1.0628e+01	
 7.0000e+01	 6.1839e-03	 9.9964e-01	 9.0234e-02	 9.7630e-01	 1.0559e+01	
 7.1000e+01	 5.9674e-03	 9.9966e-01	 9.0458e-02	 9.7640e-01	 1.0589e+01	
 7.2000e+01	 5.7702e-03	 9.9966e-01	 9.0756e-02	 9.7670e-01	 1.0655e+01	
 7.3000e+01	 5.5747e-03	 9.9968e-01	 9.0996e-02	 9.7660e-01	 1.0617e+01	
 7.4000e+01	 5.3929e-03	 9.9968e-01	 9.1266e-02	 9.7670e-01	 1.0618e+01	
 7.5000e+01	 5.2240e-03	 9.9968e-01	 9.1572e-02	 9.7670e-01	 1.0673e+01	
 7.6000e+01	 5.0665e-03	 9.9968e-01	 9.1846e-02	 9.7660e-01	 1.0630e+01	
 7.7000e+01	 4.8939e-03	 9.9968e-01	 9.2084e-02	 9.7650e-01	 1.0648e+01	
 7.8000e+01	 4.7355e-03	 9.9974e-01	 9.2375e-02	 9.7680e-01	 1.0633e+01	
 7.9000e+01	 4.6084e-03	 9.9974e-01	 9.2662e-02	 9.7680e-01	 1.0666e+01	
 8.0000e+01	 4.4625e-03	 9.9980e-01	 9.2915e-02	 9.7670e-01	 1.0641e+01	
 8.1000e+01	 4.3464e-03	 9.9984e-01	 9.3187e-02	 9.7680e-01	 1.0697e+01	
 8.2000e+01	 4.2182e-03	 9.9986e-01	 9.3428e-02	 9.7680e-01	 1.0642e+01	
 8.3000e+01	 4.1014e-03	 9.9986e-01	 9.3700e-02	 9.7680e-01	 1.0714e+01	
 8.4000e+01	 3.9931e-03	 9.9986e-01	 9.4005e-02	 9.7680e-01	 1.0676e+01	
 8.5000e+01	 3.8869e-03	 9.9988e-01	 9.4232e-02	 9.7680e-01	 1.0720e+01	
 8.6000e+01	 3.7776e-03	 9.9988e-01	 9.4485e-02	 9.7680e-01	 1.0681e+01	
 8.7000e+01	 3.6804e-03	 9.9990e-01	 9.4754e-02	 9.7690e-01	 1.0650e+01	
 8.8000e+01	 3.5849e-03	 9.9990e-01	 9.4981e-02	 9.7690e-01	 1.0645e+01	
 8.9000e+01	 3.4969e-03	 9.9992e-01	 9.5244e-02	 9.7690e-01	 1.0712e+01	
 9.0000e+01	 3.4089e-03	 9.9992e-01	 9.5488e-02	 9.7680e-01	 1.0800e+01	
 9.1000e+01	 3.3311e-03	 9.9992e-01	 9.5723e-02	 9.7680e-01	 1.0558e+01	
 9.2000e+01	 3.2539e-03	 9.9992e-01	 9.6000e-02	 9.7670e-01	 1.0644e+01	
 9.3000e+01	 3.1736e-03	 9.9992e-01	 9.6240e-02	 9.7670e-01	 1.0587e+01	
